Validator Names,Keys,Rank
Coinbase Custody,cosmos1c4k24jzduc365kywrsvf5ujz4ya6mwymy8vq4q,1
cosmostation,cosmos1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep4tgu9q,2
SG-1,cosmos196ax4vc0lwpxndu9dyhvca7jhxp70rmcfhxsrt,3
Everstake,cosmos1tflk30mq5vgqjdly92kkhhq3raev2hnzldd74z,4
Binance Node,cosmos18ruzecmqj9pv8ac0gvkgryuc7u004te9xr2mcr,5
Upbit Staking,cosmos1x8efhljzvs52u5xa6m7crcwes7v9u0nlteumau,6
DokiaCapital,cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,7
Allnodes,cosmos1n229vhepft6wnkt5tjpwmxdmcnfz55jv5c4tj7,8
Ledger,cosmos10wljxpl03053h9690apmyeakly3ylhejxgve8g,9
Kraken,cosmos1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgyuy0nd,10
Chorus One,cosmos15urq2dtp9qce4fyc85m6upwm9xul3049um7trd,11
CloudByte,cosmos1wvt5zugk97mrl5rm9c3m573f9gj03w2gprnwcl,12
stake.fish,cosmos1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u0tvx7u,13
P2P.ORG - P2P Val...,cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,14
GAME,cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,15
PRYZM | StakeDrop,cosmos1hmd535f69t3x262m6s9wc6jd0dmel2zefrsfmg,16
NO! Fee to 2025,cosmos1zqgheeawp7cmqk27dgyctd80rd8ryhqsltfszt,17
Informal Systems,cosmos16k579jk6yt2cwmqx9dz5xvq9fug2tekv6g34pl,18
Sikka,cosmos1ey69r37gfxvxg62sh4r0ktpuc46pzjrmz29g45,19
Provalidator,cosmos1g48268mu5vfp4wk7dk89r0wdrakm9p5xnm5pr9,20
Swiss Staking,cosmos1y0us8xvsvfvqkk9c6nt5cfyu5au5tww28lcvjn,21
Imperator.co,cosmos1vvwtk805lxehwle9l4yudmq6mn0g32pxqjlrmt,22
Kiln,cosmos1uxlf7mvr8nep3gm7udf2u9remms2jyjqf6efne,23
Binance Staking,cosmos156gqf9837u7d4c4678yt3rl4ls9c5vuuxyhkw6,24
Stakecito,cosmos1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vvf589n,25
POSTHUMAN Stak...,cosmos157v7tczs40axfgejp2m43kwuzqe0wsy0xcn5sl,26
Citadel.one,cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,27
MANTRA,cosmos103agss48504gkk3la5xcg5kxplaf6ttnec7yey,28
PRO Delegators,cosmos18sqvyf4ss84qree7gndph5chmm82fgls9as2zq,29
Figment,cosmos1hjct6q7npsspsg3dgvzk3sdf89spmlpfg8wwf7,30
BouBouNode,cosmos1eh5mwu044gd5ntkkc2xgfg8247mgc56f8pycyz,31
StakeLab.zone,cosmos1gpx52r9h3zeul45amvcy2pysgvcwddxrdjwdll,32
iqlusion,cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,33
dForce,cosmos1cc99d3xcukhedg4wcw53j7a9q68uza70mc4u4d,34
OKXEarn,cosmos19yy989ka5usws6gsd8vl94y7l6ssgdwsx8yd7t,35
strangelove,cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,36
CoinoneNode,cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,37
