Principal Component,Explained Variance Ratio
PC1,0.08590207712029395
PC2,0.05012244739784742
PC3,0.04101289690406076
PC4,0.04089961152028651
PC5,0.03777275280873327
PC6,0.03611435354728072
PC7,0.03463248252122619
PC8,0.03181457734804735
PC9,0.03079167439288338
PC10,0.027720858342401695
PC11,0.02687658448468975
PC12,0.02462993255372723
PC13,0.022978439116346294
PC14,0.022962109919521172
PC15,0.021871321522688062
PC16,0.021174348841277203
PC17,0.02040580077093393
PC18,0.01960407740485778
PC19,0.018624599341028576
PC20,0.01717754016543237
PC21,0.016716859852850572
PC22,0.015928708184443897
PC23,0.015280465177690317
PC24,0.014752060518777185
PC25,0.01392362020305852
PC26,0.01372443422138842
PC27,0.01345780239440731
PC28,0.012494959724971999
PC29,0.011893860922581004
PC30,0.011660312185716499
PC31,0.010519494761232893
PC32,0.009886011341652042
PC33,0.009716257133624541
PC34,0.00920613408888024
PC35,0.008579670438938673
PC36,0.008520048957490634
PC37,0.008186297675840525
PC38,0.0077673434031227655
PC39,0.007419149208673433
PC40,0.007291573907710815
PC41,0.007076155937169881
PC42,0.006644210004044751
PC43,0.006307171687520342
PC44,0.006051116450241956
PC45,0.005790297635986584
PC46,0.0054309960289983025
PC47,0.005270000065797447
PC48,0.005078934685251625
PC49,0.004943869889157972
PC50,0.004804607020641357
PC51,0.004600924611885367
PC52,0.004304917928266187
PC53,0.0039869788460329715
PC54,0.0038430177485008535
PC55,0.0037505400193081
PC56,0.0036146151378439613
PC57,0.003594919518809722
PC58,0.003381541595028658
PC59,0.003150015941743391
PC60,0.0028966306354391708
PC61,0.0028551486994739224
PC62,0.0027459900788513697
PC63,0.0024337311201576084
PC64,0.0023052015472534056
PC65,0.0022150549064507584
PC66,0.0021607856221019027
PC67,0.0021112574314155847
PC68,0.0020117259996474796
PC69,0.0018199669586025243
PC70,0.0016864624090343555
PC71,0.0016740301657745351
PC72,0.001627091731357967
PC73,0.0015297976460963473
PC74,0.0015142137712895111
PC75,0.001466059226107394
PC76,0.0013458873596006097
PC77,0.0011446824976760592
PC78,0.0010784811150930857
PC79,0.0010595826224831493
PC80,0.0009702497995916322
PC81,0.0008393433106508202
PC82,0.0007991565345936424
PC83,0.0007575861168797858
PC84,0.0007055734973612257
PC85,0.0006301175331113036
PC86,0.0005982212071370241
PC87,0.0005722186760380791
PC88,0.00048098097798659334
PC89,0.0004424928459434904
PC90,0.00043082123996369536
PC91,0.00040434982856379215
PC92,0.0003716074542390782
PC93,0.0003354744718148083
PC94,0.00031094515267485634
PC95,0.0002726286774763282
PC96,0.0002605676164596963
PC97,0.00021200041464258793
PC98,0.00019668519761512364
PC99,0.00017015288973092028
PC100,0.000139641295088438
PC101,0.00012425701386982178
PC102,0.0001023705576242017
PC103,9.829741867010363e-05
PC104,8.843706490917441e-05
PC105,7.584396936097728e-05
PC106,5.870754525629716e-05
PC107,5.1377865824226855e-05
PC108,4.7018109830590894e-05
PC109,3.913020557185661e-05
PC110,3.1258666852668975e-05
PC111,2.334084584051727e-05
PC112,1.7105197526909237e-05
PC113,1.1804877777439937e-05
PC114,6.1503901984529405e-06
PC115,1.7852074942246634e-06
PC116,1.304940677577092e-06
PC117,2.803060492907845e-07
PC118,2.675576870895772e-07
PC119,1.8586743318135075e-07
PC120,9.903123031151056e-08
PC121,4.312229057569362e-34
PC122,3.192910119244654e-34
PC123,3.192910119244654e-34
PC124,3.192910119244654e-34
PC125,3.192910119244654e-34
PC126,3.192910119244654e-34
PC127,3.192910119244654e-34
PC128,3.192910119244654e-34
