Principal Component,Explained Variance Ratio
PC1,0.18196829444626797
PC2,0.12404894205530734
PC3,0.05307569012338153
PC4,0.04023694714510745
PC5,0.02945020544890534
PC6,0.028932520649454573
PC7,0.026118817059728593
PC8,0.025287923969642915
PC9,0.02319265110671365
PC10,0.02173107878914385
PC11,0.021241619985639525
PC12,0.02016348900565117
PC13,0.019105091931615702
PC14,0.017547062004331884
PC15,0.016305100589203012
PC16,0.015888767453351885
PC17,0.014866174743465988
PC18,0.01456926547639302
PC19,0.013717563136899957
PC20,0.013298136245974831
PC21,0.012136773476104566
PC22,0.011862416094366451
PC23,0.011283836184124029
PC24,0.010880488191511595
PC25,0.010440201469583982
PC26,0.01025057713687624
PC27,0.009303850503302007
PC28,0.009063636239343191
PC29,0.008875281858709592
PC30,0.008354263518330126
PC31,0.007825657933940277
PC32,0.007576770443921177
PC33,0.007149601737763908
PC34,0.006855152045364955
PC35,0.00651066927096357
PC36,0.006329628467125948
PC37,0.006032103171302978
PC38,0.005912923284596444
PC39,0.005474600243578422
PC40,0.005331563994196881
PC41,0.004971762797401724
PC42,0.004959586758490698
PC43,0.004916439807564982
PC44,0.004511614220346964
PC45,0.004300233315170006
PC46,0.004243474217018232
PC47,0.0041027928703548265
PC48,0.003932509470437169
PC49,0.003767978539048154
PC50,0.003692069361119138
PC51,0.0033799703080947792
PC52,0.003340774709018577
PC53,0.0030770308723739575
PC54,0.0029701857565528583
PC55,0.0028329684493261374
PC56,0.0027001003882966405
PC57,0.0026592591522368856
PC58,0.002516419240141113
PC59,0.0023696003422615805
PC60,0.002236153907124378
PC61,0.002065743311193169
PC62,0.0019082252733058547
PC63,0.0018581959998552778
PC64,0.0017927118985928314
PC65,0.0017328819520698953
PC66,0.0016927406196868481
PC67,0.0015682414661472627
PC68,0.001516461076249726
PC69,0.0014696814694069452
PC70,0.0013702477702421543
PC71,0.001326893877859716
PC72,0.0012581546056383516
PC73,0.0012422825008244157
PC74,0.0011819397637077484
PC75,0.0010944781153128902
PC76,0.0010726423610840717
PC77,0.0009912265281652342
PC78,0.0009364959052540457
PC79,0.0009038948149744149
PC80,0.0008278559121983667
PC81,0.0007645859237961288
PC82,0.0007420383105186914
PC83,0.0006977332945768688
PC84,0.0006795342326199442
PC85,0.0006546086491784355
PC86,0.0006464301792784114
PC87,0.0006110377515304988
PC88,0.0005452175847132651
PC89,0.0005186208093509859
PC90,0.00051193393387814
PC91,0.0004621989321217457
PC92,0.00044021834139444687
PC93,0.000391981586881856
PC94,0.0003621727522887735
PC95,0.0003510679268646059
PC96,0.00033016500496479024
PC97,0.0002959216275176715
PC98,0.0002804119209133449
PC99,0.0002714851254768535
PC100,0.0002440729022245471
PC101,0.00024033268950103063
PC102,0.00021986843143303455
PC103,0.00020851282262149485
PC104,0.0002028105260547559
PC105,0.00019228885868498692
PC106,0.00017347583787387423
PC107,0.00015960935922702132
PC108,0.00014898339150146118
PC109,0.0001308068622211949
PC110,0.00011909480464922194
PC111,0.00011512261943043395
PC112,0.00010567344128812762
PC113,9.859725196390916e-05
PC114,8.726849608600103e-05
PC115,7.142434665934255e-05
PC116,6.314349148154095e-05
PC117,5.854499816458561e-05
PC118,5.3360998859577106e-05
PC119,4.708897692834488e-05
PC120,4.145230472019712e-05
PC121,3.565481787123673e-05
PC122,2.994480509060851e-05
PC123,2.74598708713227e-05
PC124,2.4453849179807815e-05
PC125,2.255970845745493e-05
PC126,1.382808219592634e-05
PC127,1.2572587211134009e-05
PC128,7.372644347743621e-06
