from_key,966,957,956,955,954,952,950,947,946,948,944,943,940,937,935,931,930,927,926,924,920,921,917,916,914,912,897,895,893,890,885,880,877,871,867,868,865,864,862,861,860,858,856,855,854,853,851,848,845,844,843,842,839,836,835,833,829,827,826,825,823,821,817,819,818,814,811,810,805,804,801,799,800,798,797,794,793,792,791,790,787,717,687,155,202,187,104,103,101,96,98,97,95,94,93,90,89,88,87,84,86,83,82,81,80,78,77,76,74,73,72,71,69,70,68,67,66,65,64,63,62,60,59,58,57,56,54,52
Enigma,1,1,2,1,2,3,1,1,3,1,N/A,N/A,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,N/A,1,1,1,1,1,1,2,2,1,1,2,1,3,3,1,1,3,2,1,1,1,1,1,N/A,3,1,1,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tessellated,1,1,3,1,1,3,1,1,N/A,1,1,1,1,N/A,1,1,1,1,1,1,N/A,N/A,1,3,N/A,N/A,1,1,N/A,1,1,N/A,1,1,1,1,2,1,N/A,2,N/A,1,4,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,3,3,1,1,1,3,3,1,3,3,2,1,N/A,1,4,1,1,3,1,1,1,1,1,1,N/A,N/A,N/A,1,N/A,N/A,N/A,1,3
MANTRA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,1,1,2,2,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Easy 2 Stake,1,N/A,N/A,N/A,N/A,N/A,1,2,3,1,1,1,1,1,1,N/A,3,1,N/A,N/A,N/A,N/A,1,3,1,1,N/A,2,3,N/A,1,N/A,1,2,1,3,2,1,1,3,1,1,3,2,1,2,1,3,1,1,1,2,1,2,1,1,1,3,2,1,1,1,1,1,3,1,3,1,N/A,1,1,1,N/A,1,1,N/A,2,1,3,2,2,3,1,3,N/A,1,2,1,3,N/A,3,1,3,1,1,N/A,2,1,3,N/A,4,3,4,3,3,2,1,1,1,4,1,N/A,3,1,2,1,1,N/A,N/A,1,2,N/A,N/A,N/A,1,N/A,1,N/A
S16 Research Vent...,1,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,3,3,1,1,1,1,1,1,N/A,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,2,1,3,1,3,1,1,1,1,3,3,1,1,1,4,3,4,3,3,4,1,3,1,N/A,3,N/A,1,N/A,1,1,N/A,1,2,2,1,N/A,N/A,1,N/A,1,1,N/A
Stir,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,3,N/A,1,3,1,1,2,2,1,2,1,1,N/A,1,N/A,1,1,1,N/A,N/A,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,2,1,3,1,N/A,N/A,1,2,N/A,N/A,1,1,2,1,3,1,N/A,1,N/A,2,N/A,1,1,2,2,3,1,3,3,N/A,1,3,N/A,N/A,N/A,N/A,3,1,1,N/A,1,1,1,N/A,N/A,N/A,1,N/A,1,1,1,N/A
IRISNET,1,1,1,1,1,3,1,1,1,1,N/A,N/A,1,1,1,N/A,N/A,1,1,1,1,3,N/A,N/A,1,1,1,1,3,N/A,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,N/A,1,1,1,1,3,1,1,1,1,1,1,2,N/A,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,3,2,1,2,1,1,1,2,1,1,1,1,2,1,1,N/A,N/A,N/A,1
Sygnum,1,1,3,2,1,2,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,3,N/A,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,N/A,N/A,N/A,1,1,1,N/A,1,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,N/A,3,3,1,1,3,3,1,N/A,N/A,N/A,N/A,N/A,N/A,1,3,1,3,1,N/A,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bunkerstake.io,1,1,3,1,1,1,1,1,3,1,1,2,2,1,1,3,2,1,1,1,2,2,2,3,1,2,1,2,N/A,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,3,1,3,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
